Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-04-19,,,80
2026-04-20,24,10,47
2026-04-21,25,9,43
2026-04-22,25,9,57
2026-04-23,25,9,47
2026-04-24,25,9,44
2026-04-25,25,9,74
2026-04-26,25,9,117
2026-04-27,25,9,54
2026-04-28,24,9,50
2026-04-29,24,9,35
2026-04-30,24,9,77
2026-05-01,24,9,91
2026-05-02,20,9,79
2026-05-03,20,9,90
2026-05-04,20,9,51
2026-05-05,19,9,31
2026-05-06,19,9,73
2026-05-07,19,9,45
2026-05-08,19,9,74
2026-05-09,18,9,101
2026-05-10,18,9,155
2026-05-11,18,9,94
2026-05-12,17,10,45
2026-05-13,17,10,49
2026-05-14,17,10,41
2026-05-15,17,10,65
2026-05-16,17,11,96
2026-05-17,17,11,121
2026-05-18,17,11,55
2026-05-19,17,11,61
2026-05-20,17,11,39
2026-05-21,17,11,54
2026-05-22,17,11,72
2026-05-23,16,12,68
2026-05-24,16,12,110
2026-05-25,16,12,60
2026-05-26,16,12,41
2026-05-27,16,12,37
2026-05-28,16,12,37
2026-05-29,16,12,43
2026-05-30,16,12,59
2026-05-31,16,12,73
2026-06-01,16,12,75
2026-06-02,16,12,85
2026-06-03,16,12,80
2026-06-04,16,12,92
2026-06-05,16,12,51
2026-06-06,16,12,43
2026-06-07,16,12,73
2026-06-08,16,12,51
2026-06-09,13,12,36
2026-06-10,13,12,31
2026-06-11,13,12,67
2026-06-12,13,12,48
2026-06-13,14,10,107
2026-06-14,14,10,97
2026-06-15,14,10,69
2026-06-16,14,10,64
2026-06-17,14,10,52
2026-06-18,14,10,53
2026-06-19,14,10,62
2026-06-20,14,10,91
2026-06-21,14,10,86
2026-06-22,14,10,57
2026-06-23,14,10,63
2026-06-24,14,10,34
2026-06-25,14,10,36
2026-06-26,14,10,25
2026-06-27,14,10,61
2026-06-28,14,10,69
2026-06-29,14,10,43
2026-06-30,14,10,28
2026-07-01,20,11,46
2026-07-02,20,11,47
2026-07-03,20,11,42
2026-07-04,20,11,83
2026-07-05,20,11,83
2026-07-06,20,11,74
2026-07-07,20,11,45
2026-07-08,20,11,35
2026-07-09,20,11,48
2026-07-10,20,11,94
